id,trailName,park,address,difficulty,length,createdAt,updatedAt
99,Knobstone Trail: Deam Lake to Bartle Knob Road,Deam Lakes State Recreation Area,"Dream Lake, Carr Township, IN 47106",Hard,12.2,10/24/2019,10/24/2019
100,Knobstone Trail: Deam lake to Round Knob,Deam Lake State Recreation Area,"Dream Lake, Carr Township, IN 47106",Hard,12.5,10/24/2019,10/24/2019
101,Knobstone Trail: Leota to Elk Creek,,"12598 E Saylor Rd, Salem, IN 47167",Hard,6.8,10/24/2019,10/24/2019
102,Knobstone Trail: New Chapel to Leota,Clark State Forest,"2050 S Liberty Knob Rd, New Pekin, IN 47165",Hard,7.8,10/24/2019,10/24/2019
103,Knobstone Trail: Pixley Knob to Jackson Rd Trailhead,Clark State Forest,"18402-18708 Pixley Knob Rd, Henryville, IN 47126",Hard,7.2,10/24/2019,10/24/2019
104,Knobstone Trail: Spurgeon Hollow to Delaney Park,Jackson Washington State Forest,"Scottsburg, Indiana 47170",Hard,10.9,10/24/2019,10/24/2019
105,Kokiwanee Nature Preserve Trail,Slamonie River State Forest,"5820-5436 E 50 S, Lagro, IN 46941",Moderate,1.6,10/24/2019,10/24/2019
106,Lake Monroe Peninsula Trail,Charles C. Deam Wilderness,"Tower Ridge Rd, Bloomington, IN 47401",Moderate,9.8,10/24/2019,10/24/2019
107,Lake Vista Trail 4,Deam Lake State Recreation Area,"Borden, Indiana 47106",Moderate,1.8,10/24/2019,10/24/2019
108,Lakeview and Boundary Trails at Salamonie Reservoir,Salamonie River State Forest,"Hominy Ridge Lake Dam, Lagro, IN 46941",Easy,9,10/24/2019,10/24/2019
109,LaSalle Fish and Wildlife Area Loop,Lasalle Fish and Wildlife Area,"N 475 W, Lake Village, IN 46349",Moderate,5.8,10/24/2019,10/24/2019
110,Laura Hare Nature Preserve Full Loop,Laura Hare Nature Preserve,"1857-1191 Valley Branch Rd, Nashville, IN 47448",Moderate,5,10/24/2019,10/24/2019
111,Laura Hare Nature Preserve Half Loop,Laura Hare Nature Preserve,"1857-1191 Valley Branch Rd, Nashville, IN 47448",Moderate,2.9,10/24/2019,10/24/2019
112,Lawrence Creek Trail,Fort Harrison State Park,"Schoen Creek, Lawrence, IN 46216",Moderate,4.5,10/24/2019,10/24/2019
113,Lawrenceburg/Aurora trail,,"55 Walnut St, Lawrenceburg, IN 47025",Easy,7.3,10/24/2019,10/24/2019
114,Leonard Springs Nature Park Loop,,"4311 Angels Way, Bloomington, IN 47403",Easy,1.1,10/24/2019,10/24/2019
115,Lick Creek Trail,,"1535 E 450 S, Paoli, IN 47454",Moderate,7.7,10/24/2019,10/24/2019
116,Lincoln Park Loop Trail,Lincol State Park,"Beach House & Camp Store, Clay Township, IN 47537",Easy,7.2,10/24/2019,10/24/2019
